timestep,site,spp,count
1,1,spp1,0
1,2,spp1,1
1,3,spp1,0
1,4,spp1,48
1,5,spp1,48
1,6,spp1,48
1,7,spp1,48
1,8,spp1,48
1,9,spp1,48
1,10,spp1,1
1,11,spp1,0
1,12,spp1,1
1,1,spp2,0
1,2,spp2,1
1,3,spp2,0
1,4,spp2,1
1,5,spp2,0
1,6,spp2,1
1,7,spp2,48
1,8,spp2,48
1,9,spp2,48
1,10,spp2,48
1,11,spp2,48
1,12,spp2,48
1,1,spp3,5
1,2,spp3,5
1,3,spp3,5
1,4,spp3,5
1,5,spp3,5
1,6,spp3,5
1,7,spp3,5
1,8,spp3,5
1,9,spp3,5
1,10,spp3,5
1,11,spp3,5
1,12,spp3,5
1,1,spp4,48
1,2,spp4,48
1,3,spp4,48
1,4,spp4,48
1,5,spp4,48
1,6,spp4,48
1,7,spp4,0
1,8,spp4,1
1,9,spp4,0
1,10,spp4,1
1,11,spp4,0
1,12,spp4,1
1,1,spp5,48
1,2,spp5,48
1,3,spp5,48
1,4,spp5,0
1,5,spp5,1
1,6,spp5,0
1,7,spp5,1
1,8,spp5,0
1,9,spp5,1
1,10,spp5,48
1,11,spp5,48
1,12,spp5,48
2,1,spp1,3
2,2,spp1,6
2,3,spp1,5
2,4,spp1,39
2,5,spp1,41
2,6,spp1,50
2,7,spp1,43
2,8,spp1,46
2,9,spp1,40
2,10,spp1,1
2,11,spp1,3
2,12,spp1,4
2,1,spp2,2
2,2,spp2,3
2,3,spp2,1
2,4,spp2,3
2,5,spp2,3
2,6,spp2,3
2,7,spp2,50
2,8,spp2,47
2,9,spp2,51
2,10,spp2,45
2,11,spp2,50
2,12,spp2,44
2,1,spp3,3
2,2,spp3,5
2,3,spp3,3
2,4,spp3,4
2,5,spp3,2
2,6,spp3,5
2,7,spp3,5
2,8,spp3,4
2,9,spp3,5
2,10,spp3,4
2,11,spp3,2
2,12,spp3,5
2,1,spp4,47
2,2,spp4,45
2,3,spp4,48
2,4,spp4,49
2,5,spp4,52
2,6,spp4,42
2,7,spp4,2
2,8,spp4,2
2,9,spp4,2
2,10,spp4,4
2,11,spp4,1
2,12,spp4,3
2,1,spp5,46
2,2,spp5,44
2,3,spp5,44
2,4,spp5,7
2,5,spp5,4
2,6,spp5,2
2,7,spp5,2
2,8,spp5,3
2,9,spp5,4
2,10,spp5,49
2,11,spp5,45
2,12,spp5,47
3,1,spp1,1
3,2,spp1,7
3,3,spp1,3
3,4,spp1,36
3,5,spp1,39
3,6,spp1,37
3,7,spp1,45
3,8,spp1,43
3,9,spp1,39
3,10,spp1,6
3,11,spp1,11
3,12,spp1,5
3,1,spp2,3
3,2,spp2,4
3,3,spp2,3
3,4,spp2,1
3,5,spp2,8
3,6,spp2,8
3,7,spp2,44
3,8,spp2,49
3,9,spp2,46
3,10,spp2,43
3,11,spp2,47
3,12,spp2,44
3,1,spp3,3
3,2,spp3,4
3,3,spp3,5
3,4,spp3,5
3,5,spp3,3
3,6,spp3,7
3,7,spp3,4
3,8,spp3,4
3,9,spp3,7
3,10,spp3,4
3,11,spp3,3
3,12,spp3,3
3,1,spp4,45
3,2,spp4,46
3,3,spp4,40
3,4,spp4,51
3,5,spp4,46
3,6,spp4,43
3,7,spp4,4
3,8,spp4,4
3,9,spp4,5
3,10,spp4,0
3,11,spp4,3
3,12,spp4,5
3,1,spp5,49
3,2,spp5,42
3,3,spp5,50
3,4,spp5,9
3,5,spp5,6
3,6,spp5,7
3,7,spp5,5
3,8,spp5,2
3,9,spp5,5
3,10,spp5,50
3,11,spp5,37
3,12,spp5,46
4,1,spp1,3
4,2,spp1,10
4,3,spp1,9
4,4,spp1,37
4,5,spp1,41
4,6,spp1,31
4,7,spp1,41
4,8,spp1,48
4,9,spp1,30
4,10,spp1,7
4,11,spp1,12
4,12,spp1,9
4,1,spp2,7
4,2,spp2,4
4,3,spp2,5
4,4,spp2,2
4,5,spp2,7
4,6,spp2,12
4,7,spp2,42
4,8,spp2,43
4,9,spp2,45
4,10,spp2,36
4,11,spp2,39
4,12,spp2,48
4,1,spp3,2
4,2,spp3,3
4,3,spp3,5
4,4,spp3,3
