timestep,site,spp,count
1,1,spp1,48
1,2,spp1,48
1,3,spp1,48
1,4,spp1,48
1,5,spp1,48
1,6,spp1,48
1,7,spp1,1
1,8,spp1,0
1,9,spp1,1
1,10,spp1,0
1,11,spp1,1
1,12,spp1,0
1,1,spp2,1
1,2,spp2,0
1,3,spp2,1
1,4,spp2,48
1,5,spp2,48
1,6,spp2,48
1,7,spp2,48
1,8,spp2,48
1,9,spp2,48
1,10,spp2,0
1,11,spp2,1
1,12,spp2,0
1,1,spp3,5
1,2,spp3,5
1,3,spp3,5
1,4,spp3,5
1,5,spp3,5
1,6,spp3,5
1,7,spp3,5
1,8,spp3,5
1,9,spp3,5
1,10,spp3,5
1,11,spp3,5
1,12,spp3,5
1,1,spp4,48
1,2,spp4,48
1,3,spp4,48
1,4,spp4,0
1,5,spp4,1
1,6,spp4,0
1,7,spp4,1
1,8,spp4,0
1,9,spp4,1
1,10,spp4,48
1,11,spp4,48
1,12,spp4,48
1,1,spp5,0
1,2,spp5,1
1,3,spp5,0
1,4,spp5,1
1,5,spp5,0
1,6,spp5,1
1,7,spp5,48
1,8,spp5,48
1,9,spp5,48
1,10,spp5,48
1,11,spp5,48
1,12,spp5,48
2,1,spp1,73
2,2,spp1,87
2,3,spp1,93
2,4,spp1,58
2,5,spp1,7
2,6,spp1,0
2,7,spp1,0
2,8,spp1,0
2,9,spp1,0
2,10,spp1,0
2,11,spp1,2
2,12,spp1,1
2,1,spp2,0
2,2,spp2,0
2,3,spp2,0
2,4,spp2,13
2,5,spp2,58
2,6,spp2,86
2,7,spp2,101
2,8,spp2,0
2,9,spp2,100
2,10,spp2,0
2,11,spp2,0
2,12,spp2,0
2,1,spp3,6
2,2,spp3,8
2,3,spp3,9
2,4,spp3,30
2,5,spp3,30
2,6,spp3,16
2,7,spp3,2
2,8,spp3,3
2,9,spp3,3
2,10,spp3,27
2,11,spp3,10
2,12,spp3,29
2,1,spp4,23
2,2,spp4,7
2,3,spp4,0
2,4,spp4,1
2,5,spp4,7
2,6,spp4,0
2,7,spp4,0
2,8,spp4,0
2,9,spp4,0
2,10,spp4,22
2,11,spp4,2
2,12,spp4,23
2,1,spp5,0
2,2,spp5,0
2,3,spp5,0
2,4,spp5,0
2,5,spp5,0
2,6,spp5,0
2,7,spp5,0
2,8,spp5,98
2,9,spp5,0
2,10,spp5,52
2,11,spp5,89
2,12,spp5,48
3,1,spp1,89
3,2,spp1,95
3,3,spp1,94
3,4,spp1,19
3,5,spp1,2
3,6,spp1,0
3,7,spp1,0
3,8,spp1,0
3,9,spp1,0
3,10,spp1,1
3,11,spp1,2
3,12,spp1,3
3,1,spp2,0
3,2,spp2,0
3,3,spp2,0
3,4,spp2,2
3,5,spp2,19
3,6,spp2,70
3,7,spp2,103
3,8,spp2,0
3,9,spp2,102
3,10,spp2,0
3,11,spp2,0
3,12,spp2,0
3,1,spp3,7
3,2,spp3,7
3,3,spp3,8
3,4,spp3,78
3,5,spp3,61
3,6,spp3,31
3,7,spp3,0
3,8,spp3,3
3,9,spp3,1
3,10,spp3,71
3,11,spp3,20
3,12,spp3,72
3,1,spp4,6
3,2,spp4,0
3,3,spp4,0
3,4,spp4,3
3,5,spp4,20
3,6,spp4,1
3,7,spp4,0
3,8,spp4,0
3,9,spp4,0
3,10,spp4,7
3,11,spp4,1
3,12,spp4,3
3,1,spp5,0
3,2,spp5,0
3,3,spp5,0
3,4,spp5,0
3,5,spp5,0
3,6,spp5,0
3,7,spp5,0
3,8,spp5,98
3,9,spp5,0
3,10,spp5,22
3,11,spp5,80
3,12,spp5,23
4,1,spp1,90
