"sim.ID","param.name","param.stat","param.stat.val"
"SIM_mites_neutral_model_20211020_175409_421563","n.sites","fixed_value",70
"SIM_mites_neutral_model_20211020_175409_421563","n.timestep","fixed_value",100
"SIM_mites_neutral_model_20211020_175409_421563","alpha.fisher","fixed_value",1
"SIM_mites_neutral_model_20211020_175409_421563","nu.sim","fixed_value",0
"SIM_mites_neutral_model_20211020_175409_421563","JM","fixed_value",1000020
"SIM_mites_neutral_model_20211020_175409_421563","W.r","fixed_value",5e+06
"SIM_mites_neutral_model_20211020_175409_421563","area.m2","mean",1
"SIM_mites_neutral_model_20211020_175409_421563","JL","mean",14286
"SIM_mites_neutral_model_20211020_175409_421563","Ef","mean",-2.22176258045976e-17
"SIM_mites_neutral_model_20211020_175409_421563","Ef.specificity","mean",0
"SIM_mites_neutral_model_20211020_175409_421563","IL","mean",14285
"SIM_mites_neutral_model_20211020_175409_421563","m","mean",0.5
"SIM_mites_neutral_model_20211020_175409_421563","area.m2","sd",0
"SIM_mites_neutral_model_20211020_175409_421563","JL","sd",0
"SIM_mites_neutral_model_20211020_175409_421563","Ef","sd",1.17180979915526
"SIM_mites_neutral_model_20211020_175409_421563","Ef.specificity","sd",0
"SIM_mites_neutral_model_20211020_175409_421563","IL","sd",0
"SIM_mites_neutral_model_20211020_175409_421563","m","sd",0
"SIM_mites_neutral_model_20211020_175409_421563","trait.dispersal","mean",1
"SIM_mites_neutral_model_20211020_175409_421563","trait.Ef","mean",-0.050081975103323
"SIM_mites_neutral_model_20211020_175409_421563","trait.Ef.sd","mean",-50.081975103323
"SIM_mites_neutral_model_20211020_175409_421563","regional.RA","mean",0.1
"SIM_mites_neutral_model_20211020_175409_421563","trait.dispersal","sd",0
"SIM_mites_neutral_model_20211020_175409_421563","trait.Ef","sd",0.651813023310362
"SIM_mites_neutral_model_20211020_175409_421563","trait.Ef.sd","sd",651.813023310362
"SIM_mites_neutral_model_20211020_175409_421563","regional.RA","sd",0.0679325800662692
"SIM_mites_neutral_model_20211020_175621_421563","n.sites","fixed_value",70
"SIM_mites_neutral_model_20211020_175621_421563","n.timestep","fixed_value",100
"SIM_mites_neutral_model_20211020_175621_421563","alpha.fisher","fixed_value",1
"SIM_mites_neutral_model_20211020_175621_421563","nu.sim","fixed_value",0
"SIM_mites_neutral_model_20211020_175621_421563","JM","fixed_value",1000020
"SIM_mites_neutral_model_20211020_175621_421563","W.r","fixed_value",5e+06
"SIM_mites_neutral_model_20211020_175621_421563","area.m2","mean",1
"SIM_mites_neutral_model_20211020_175621_421563","JL","mean",14286
"SIM_mites_neutral_model_20211020_175621_421563","Ef","mean",-2.22176258045976e-17
"SIM_mites_neutral_model_20211020_175621_421563","Ef.specificity","mean",0
"SIM_mites_neutral_model_20211020_175621_421563","IL","mean",14285
"SIM_mites_neutral_model_20211020_175621_421563","m","mean",0.5
"SIM_mites_neutral_model_20211020_175621_421563","area.m2","sd",0
"SIM_mites_neutral_model_20211020_175621_421563","JL","sd",0
"SIM_mites_neutral_model_20211020_175621_421563","Ef","sd",1.17180979915526
"SIM_mites_neutral_model_20211020_175621_421563","Ef.specificity","sd",0
"SIM_mites_neutral_model_20211020_175621_421563","IL","sd",0
"SIM_mites_neutral_model_20211020_175621_421563","m","sd",0
"SIM_mites_neutral_model_20211020_175621_421563","trait.dispersal","mean",1
"SIM_mites_neutral_model_20211020_175621_421563","trait.Ef","mean",-0.050081975103323
"SIM_mites_neutral_model_20211020_175621_421563","trait.Ef.sd","mean",-50.081975103323
"SIM_mites_neutral_model_20211020_175621_421563","regional.RA","mean",0.1
"SIM_mites_neutral_model_20211020_175621_421563","trait.dispersal","sd",0
"SIM_mites_neutral_model_20211020_175621_421563","trait.Ef","sd",0.651813023310362
"SIM_mites_neutral_model_20211020_175621_421563","trait.Ef.sd","sd",651.813023310362
"SIM_mites_neutral_model_20211020_175621_421563","regional.RA","sd",0.0679325800662692
"SIM_mites_neutral_model_20211020_180447_421563","n.sites","fixed_value",70
"SIM_mites_neutral_model_20211020_180447_421563","n.timestep","fixed_value",100
"SIM_mites_neutral_model_20211020_180447_421563","alpha.fisher","fixed_value",1
"SIM_mites_neutral_model_20211020_180447_421563","nu.sim","fixed_value",0
"SIM_mites_neutral_model_20211020_180447_421563","JM","fixed_value",1000020
"SIM_mites_neutral_model_20211020_180447_421563","W.r","fixed_value",5e+06
"SIM_mites_neutral_model_20211020_180447_421563","area.m2","mean",1
"SIM_mites_neutral_model_20211020_180447_421563","JL","mean",14286
"SIM_mites_neutral_model_20211020_180447_421563","Ef","mean",-2.22176258045976e-17
"SIM_mites_neutral_model_20211020_180447_421563","Ef.specificity","mean",0
"SIM_mites_neutral_model_20211020_180447_421563","IL","mean",14285
"SIM_mites_neutral_model_20211020_180447_421563","m","mean",0.5
"SIM_mites_neutral_model_20211020_180447_421563","area.m2","sd",0
"SIM_mites_neutral_model_20211020_180447_421563","JL","sd",0
"SIM_mites_neutral_model_20211020_180447_421563","Ef","sd",1.17180979915526
"SIM_mites_neutral_model_20211020_180447_421563","Ef.specificity","sd",0
"SIM_mites_neutral_model_20211020_180447_421563","IL","sd",0
"SIM_mites_neutral_model_20211020_180447_421563","m","sd",0
"SIM_mites_neutral_model_20211020_180447_421563","trait.dispersal","mean",1
"SIM_mites_neutral_model_20211020_180447_421563","trait.Ef","mean",-0.050081975103323
"SIM_mites_neutral_model_20211020_180447_421563","trait.Ef.sd","mean",-50.081975103323
"SIM_mites_neutral_model_20211020_180447_421563","regional.RA","mean",0.1
"SIM_mites_neutral_model_20211020_180447_421563","trait.dispersal","sd",0
"SIM_mites_neutral_model_20211020_180447_421563","trait.Ef","sd",0.651813023310362
"SIM_mites_neutral_model_20211020_180447_421563","trait.Ef.sd","sd",651.813023310362
"SIM_mites_neutral_model_20211020_180447_421563","regional.RA","sd",0.0679325800662692
"SIM_mites_neutral_model_20211020_180626_421563","n.sites","fixed_value",70
"SIM_mites_neutral_model_20211020_180626_421563","n.timestep","fixed_value",100
"SIM_mites_neutral_model_20211020_180626_421563","alpha.fisher","fixed_value",1
"SIM_mites_neutral_model_20211020_180626_421563","nu.sim","fixed_value",0
"SIM_mites_neutral_model_20211020_180626_421563","JM","fixed_value",1000020
"SIM_mites_neutral_model_20211020_180626_421563","W.r","fixed_value",5e+06
"SIM_mites_neutral_model_20211020_180626_421563","area.m2","mean",1
"SIM_mites_neutral_model_20211020_180626_421563","JL","mean",14286
"SIM_mites_neutral_model_20211020_180626_421563","Ef","mean",-2.22176258045976e-17
"SIM_mites_neutral_model_20211020_180626_421563","Ef.specificity","mean",0
"SIM_mites_neutral_model_20211020_180626_421563","IL","mean",14285
"SIM_mites_neutral_model_20211020_180626_421563","m","mean",0.5
"SIM_mites_neutral_model_20211020_180626_421563","area.m2","sd",0
"SIM_mites_neutral_model_20211020_180626_421563","JL","sd",0
"SIM_mites_neutral_model_20211020_180626_421563","Ef","sd",1.17180979915526
"SIM_mites_neutral_model_20211020_180626_421563","Ef.specificity","sd",0
"SIM_mites_neutral_model_20211020_180626_421563","IL","sd",0
"SIM_mites_neutral_model_20211020_180626_421563","m","sd",0
"SIM_mites_neutral_model_20211020_180626_421563","trait.dispersal","mean",1
"SIM_mites_neutral_model_20211020_180626_421563","trait.Ef","mean",-0.050081975103323
"SIM_mites_neutral_model_20211020_180626_421563","trait.Ef.sd","mean",-50.081975103323
"SIM_mites_neutral_model_20211020_180626_421563","regional.RA","mean",0.1
"SIM_mites_neutral_model_20211020_180626_421563","trait.dispersal","sd",0
"SIM_mites_neutral_model_20211020_180626_421563","trait.Ef","sd",0.651813023310362
"SIM_mites_neutral_model_20211020_180626_421563","trait.Ef.sd","sd",651.813023310362
"SIM_mites_neutral_model_20211020_180626_421563","regional.RA","sd",0.0679325800662692
"SIM_mites_neutral_model_20211020_182308_421563","n.sites","fixed_value",70
"SIM_mites_neutral_model_20211020_182308_421563","n.timestep","fixed_value",100
"SIM_mites_neutral_model_20211020_182308_421563","alpha.fisher","fixed_value",1
"SIM_mites_neutral_model_20211020_182308_421563","nu.sim","fixed_value",0
"SIM_mites_neutral_model_20211020_182308_421563","JM","fixed_value",1000020
"SIM_mites_neutral_model_20211020_182308_421563","W.r","fixed_value",5e+06
"SIM_mites_neutral_model_20211020_182308_421563","area.m2","mean",1
"SIM_mites_neutral_model_20211020_182308_421563","JL","mean",14286
"SIM_mites_neutral_model_20211020_182308_421563","Ef","mean",-2.22176258045976e-17
"SIM_mites_neutral_model_20211020_182308_421563","Ef.specificity","mean",0
"SIM_mites_neutral_model_20211020_182308_421563","IL","mean",14285
"SIM_mites_neutral_model_20211020_182308_421563","m","mean",0.5
"SIM_mites_neutral_model_20211020_182308_421563","area.m2","sd",0
"SIM_mites_neutral_model_20211020_182308_421563","JL","sd",0
"SIM_mites_neutral_model_20211020_182308_421563","Ef","sd",1.17180979915526
"SIM_mites_neutral_model_20211020_182308_421563","Ef.specificity","sd",0
"SIM_mites_neutral_model_20211020_182308_421563","IL","sd",0
"SIM_mites_neutral_model_20211020_182308_421563","m","sd",0
"SIM_mites_neutral_model_20211020_182308_421563","trait.dispersal","mean",1
"SIM_mites_neutral_model_20211020_182308_421563","trait.Ef","mean",-0.050081975103323
"SIM_mites_neutral_model_20211020_182308_421563","trait.Ef.sd","mean",-50.081975103323
"SIM_mites_neutral_model_20211020_182308_421563","regional.RA","mean",0.1
"SIM_mites_neutral_model_20211020_182308_421563","trait.dispersal","sd",0
"SIM_mites_neutral_model_20211020_182308_421563","trait.Ef","sd",0.651813023310362
"SIM_mites_neutral_model_20211020_182308_421563","trait.Ef.sd","sd",651.813023310362
"SIM_mites_neutral_model_20211020_182308_421563","regional.RA","sd",0.0679325800662692
